career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
"Second year Computer Science student at the University of York seeking a summer internship in software development. Programming skills in Python, Java and Visual Basic have been developed through degree, alongside the ability to analyse and work through problems in a logical manner. Work experience in Education and Retail has developed customer service skills and ability to communicate with a range of people.",algorithms and data structures; app development android and ios; basic processor design; css; electronic circuit analysis; html; java; javascript; linux; nodejs; php; python; sql; user centered design; visual basic; windows,"['University of York', 'Egerton Grammar School']",MEng Computer Science; A Level,Computer Science,"['University of York', 'Study Support Centre', 'Boots, Gateshead']",October 2018; June 2018; 2015,present; September 2018; 2017,7.5,Student Ambassador; Tutor; Sales Assistant,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.3333,0.4,0.9997,0.2,0.0,0.0,0.1008,0.365
,acronis true image; hwinfo; mcafee endpoint security; memtest86; microsoft windows 10; powershell; recuva; teamviewer; vmware workstation; wireshark,['University of Washington'],Bachelor of Science,Computer Science,"['Expedia Group', 'Nordstrom', 'Tableau Software']",2021; 2018; 2015,current; 2021; 2018,9.0,Computer Technician; IT Support Specialist; Help Desk Technician,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0,0.0,0.9994,0.9,0.0,0.119,0.1532,0.2985
,advertising; architect; asset management; auditing; budget; budgeting; budgets; business case; client; closing; coding; cognos; customer service; executive presentations; financial; financial analysis; financial modeling; financials; leadership; leadership skills; marketing; microsoft excel; microsoft office; negotiations; office management; oracle financials; peoplesoft; processes; progress; real estate; reporting; sap; strategic; strategic marketing; telecom,"['University of Phoenix', 'Hampton University']",Masters of Business Administration; Bachelor of Science,Finance,"['Company Name', 'Company Name']",January 2012; January 2000,Current; January 2012,24.0,Manager / New York State Licensed Real Estate Salesperson; Finance Manager,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.0,0.0,1.0,0.9,0.0,0.0698,0.186,0.2978
"I am a fresher looking for a Software developer role. During my intern period, I was chosen as a star performer for using out the box methodology to solve complex business problems.",artificial intelligence; customer analytics; data analysis; data science; machine learning; ms; natural language processing; python; sql,"['JECO, Noida']",B.Tech/B.E.,Computers,['Magicpin'],Jan 2020,Till Date,4.0,SDE Intern,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,0.989,1.0,0.0,0.0,0.0126,0.299
,data analysis; data manipulation; data science; django; machine learning; python; r; sql; statistical analysis; statistical modelling; tableau; time series analysis,['Nagpur University'],B.Tech,Electronics Engineering,['AMZ Loans and Mortgages'],Oct 2019,,0.0,Analyst,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,"Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,3.0,,,False,0.2265,0.2265,0.1824,1.0,0.0,0.075,0.0906,0.2989
,account management; accounting; big data; budgeting; business administration; business analysis; business consulting; business development; business process improvement; business solutions; business systems; business systems analysis; client relations development; costbenefit analysis; customer relationship management; database; direct marketing; director; enterprise; finance; forecasting and planning; functional requirements; information technology; integrated reporting information system iris; law; leadership; market evaluation; marketing; messaging; network; organizational; performance management; performance reviews; policies; portfolio management; processes; professor; project management; proposal writing; proposals; quality; recruitment; relationship building; requirement tracing; requirements gathering; risk management; sales; scheme; scope and project definition; selling; speaking; strategic plans; supply chain management; tables; technology architecture analysis; underwriting,"['UNIVERSITY OF PHOENIX', 'TIFFIN UNIVERSITY', 'MYERS UNIVERSITY']",Master of Science; Master of Science; Bachelor of Science,Information Systems-Graduate Business Analytic Certificate; Criminal Justice; Public Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",January 2006; January 1998; January 1996; January 1990,June 2016; January 2005; January 1998; January 1996,25.42,Business Development Analyst; Business Enterprise Risk Manager; Business Client Relationship Manager; Project Manager,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,5.0,autocad; etabs; microsoft office suite; ms project,Age at least 30 years,True,0.1429,0.25,1.0,0.9,0.0,0.0294,0.0267,0.3807
,account reconciliation; accounts receivable accounts payable; adp; budget planning; cash management; cdi; financial statement analysis; fixed assets; full accounting cycle; general ledger accounting; inventory purchases; microsoft excel; microsoft office suite; microsoft outlook; microsoft powerpoint; microsoft word; pc law; peachtree; pico or suri; pr soft; quickbooks,"['University of Phoenix', 'University of Phoenix']",MBA; BBA,Accounting and Finance; Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",03/2018; 07/2017; 03/2015; 03/2013; 01/2012; 03/2008,12/2017; 06/2017; 03/2015; 05/2013; 03/2013,0.0,Accountant; Accounting and Finance Supervisor; Administrator/Accountant; Assistant Controller; Seasonal Tax Advisor; Account Executive,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,5.0,hrm report; human resource management; ngo,Age 25 to 40 years,True,0.1667,0.3333,0.0293,0.9,0.0,0.0571,0.0395,0.2609
,access; gis; lighting designs using visual professional; microsoft excel; microsoft office; power point,"['University of South Florida', 'Hillsborough Community College']",Bachelors; Associates Degree,Information Technology,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",10/2014; 06/2013; 08/2012; 06/2011,01/2016; 10/2014; 06/2013; 08/2012,0.0,Lighting Field Engineering Technician; Administrative Technical Aide; Customer Service Professional; Business Cooperative Education Student- Customer Care,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,1.0,,Age 20 to 35 years,False,0.2355,0.2355,0.6225,1.0,0.0,0.0556,0.0942,0.3686
,approach; balance sheet; bonds; budgeting; business development; cash flow; clinical research; clinical trials; com; consulting; corporate finance; crm; database; email; english; equities; fast; financial; financials; financing; fundraising; funds; graphical user interface; information systems; innovation; inventory; marketing; network; neural; next; presentations; sales; scientific; spanish; speaker; strategic; strategy; streamline; websites,"['McCallum Graduate School at Bentley University', 'Bentley University']",Master's in Finance; Bachelor of Science,Finance; Economics & Finance,"['PainQx', 'LSN', 'Abpro']",01/2016; 06/2012; 02/2011,Current; 01/2016; 07/2012,0.0,VP of Business Development; Co-Founder VP of Business Development,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,15.0,audit and inspection; banking; internal audit,Age at most 52 years,True,0.0,0.0,0.0,1.0,0.0,0.2308,0.2115,0.1721
I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning application evaluations and deployment I got really engrossed into the domain and would like to work more towards improving myself.,amazon web services; azure; c++; heroku; machine learning engineer; natural language processing; oracledb; python; sap; sql; tableau; technical documentation,"['KLE College of Engineering, Belagavi']",B.Tech,Telecommunication,['VoyaGenius Labs'],Dec 2018,Ongoing,0.0,Software Developer (ML),"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0667,0.1429,0.1824,0.9,0.0,0.1316,0.1506,0.225
,account reconciliation; accounts receivable accounts payable; adp; budget planning; cash management; cdi; financial statement analysis; fixed assets; full accounting cycle; general ledger accounting; inventory purchases; microsoft excel; microsoft office suite; microsoft outlook; microsoft powerpoint; microsoft word; pc law; peachtree; pico or suri; pr soft; quickbooks,"['University of Phoenix', 'University of Phoenix']",MBA; BBA,Accounting and Finance; Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",03/2018; 07/2017; 03/2015; 03/2013; 01/2012; 03/2008,12/2017; 06/2017; 03/2015; 05/2013; 03/2013,0.0,Accountant; Accounting and Finance Supervisor; Administrator/Accountant; Assistant Controller; Seasonal Tax Advisor; Account Executive,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,Data Engineer,Bachelor of Science (BSc),5 to 8 years,5.0,azure; big data; data analytics; etl tools; power bi; sql,,True,0.0,0.0,0.0293,0.9,0.0,0.0789,0.1535,0.151
,ability to prioritize; administrative microsoft office suite concur; deadlineoriented; employee training and development; exceptional telephone etiquette; learning management saba lms success factors lms webex pedague testing system; professional demeanor; sales software salesforce.com paperless proposals; selfstarter; technical vantive clarify; time management ability; troubleshooting and problem solving,['Centenary College'],Bachelor of Science,Business Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",May 2016; October 2014; February 2014; April 2012; June 2011; January 2011; January 2007; October 2001,Current; May 2016; October 2014; April 2013; March 2012; April 2011; May 2010; January 2007,20.49,"Business Development Coordinator; Technology Coordinator; Region Coordinator; Executive Assistant; Technical Support Coordinator; Clinical Administrator; Specialist, User Applications; Training Coordinator","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.3333,0.5,1.0,0.9,0.0,0.0833,0.0426,0.4913
,business intelligence; data analytics; data manipulation; data mining; data modeling; data reporting; data validation; econometrics; ifrs; machine learning; oracle; problem solving; r programming; scorecard; sql,"['Shaheed Bhagat Singh College (M), University of Delhi', 'Indian Statistical Institute (ISI), Delhi']",B.A (Economics); MSc (Economics),Economics; Economics,['Home Credit India Finance'],Nov 2019,Till Date,4.17,Finance Technology Expert,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,2.0,business analysis; effective communication skills; java; rest api design; soft skills; software development,Age 25 to 32 years,True,0.0833,0.1667,0.9752,0.9,0.0,0.1176,0.1373,0.3524
,a+; aaa security model; access; accounts and group policy; active directory; antivirus; apple; applications ms office 20102016 word excel powerpoint outlook google apps drive docs sheets slides keep forms sites google drive sync client internet explorer firefox chrome safari edge openvpn wireshark sublime text msra microsoft rdp openssh puppet sccm 2012 iosmdm; bash; basic; bgp; browser support; cad; call center; ccna; cdrom; cisco; cisco ios; cli; cli knowledge; client; com; computer hardware; council; creating updating documentation; critical thinking; critical thinking with root cause analysis; dell; dhcp; dns; documentation; edge; email; encryption; file structures; firewall; forms; hardware; hardware dell hp ibm/lenovo apple microsoft desktop laptops. android smartphones tables and wearables. iphones and ipads. printers routers switches modems wireless routers video conferencing equipment tv projectors microphones speakers; help desk support; hp; ibm; implementing configuring network and end user security; installing configuring troubleshooting soho networks; installing configuring troubleshooting windows linux and os x; insurance; internet explorer; lan; laptops; linux; linux and os; mail; microsoft excel; microsoft office; microsoft powerpoint; microsoft windows; mobile device support; modems; ms office; msi; network; network protocols; networking; networking i; networking support; networking tcp/ip dns dhcp lan/wan vpn/remote connectivity openvpn some basic cisco ios microsoft virtual pc/hyperv teamviewer terminal services netgear linksys firewall ports experience in routing switching ospf / bgp / vlan / stp; networks; operating systems; operating systems windows 710 ubuntu 14.04 os x 10.810.11 chromeos ios9 android; os; ospf; outlook; policies; printer; printer support; printers; protocols; python; routers; routing; scripting; security basic knowledge of ipsec / sslvpn / nat / gre some experience with authentication protocols radius / tacacs strong desire to learn more; software installation; software installation configuring and troubleshooting; software/pc/lan troubleshooting; solidworks; ssl; switches; system administration; tables; tcp/ip; technical support; telecom support; troubleshooting; troubleshooting i; tv; video; video conferencing; voip; voip video chat support; vpn; wan; windows; windows 7; word,,,,"['Company Name', 'Company Name']",01/2015; 06/2012,Current; 08/2014,0.0,Corporate Engineering Support Technician; Help Desk Support Analyst II,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",networking; security; system administration; system management; windows server,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,5.0,hrm report; human resource management; ngo,Age 25 to 40 years,True,0.0,0.0,0.0293,0.2,0.3333,0.069,0.014,0.0719
"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.",amazon web services; computer vision; data analysis; data mining; decision trees; deep learning; flask api; machine learning; multivariate analysis; natural language processing; numpy; predictive modeling; python; random forest; scikitlearn; sql; statistical analysis; xgboost,['Nagpur University'],B.Tech/B.E.,Electronics/Telecommunication,['AMZ Loans and Mortgages ERC Analytics'],Jun 2019,till date,4.59,Associate Analyst,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,5.0,autocad; solidworks,Age at least 24 years,True,0.0,0.0,0.7484,1.0,0.0,0.0,0.0383,0.2642
,administrative support; ap; blueprint understanding; critical thinking; document control; doors; engineer; engineering operational functions; forms; functional; leadership; machinery; manufacturing systems integration; navy; oil; organizational; pearl; personnel; personnel management; pick; problem solving; progress; project management; project support; proposals; quality assurance; repairs; reporting; requirement; senior management; sharepoint; switches; team management; technical review; time management; troubles,"['State of Ohio', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy']","GED; A-651-0118, Engineering Common Core; A-651-0120, Engineering Mechanical; A-652-0298, Gas Turbine Mechanical/Electrical A School; A-651-0119, Engineering Electrical; A-652-0240, SHIPBD GAGE CAL; A-495-0018, SHIPBOARD FIREFIGHTING; A-652-0188, Waste Heat Boilers; A-012-0077, Class Facilitator Instructional Delivery Continuum; G-651-0613, MACHINERY CONTROL SYSTEM; J-500-0029, Marine Maintenance And Ship Repair 3-M System Coordinator/Inspector",Engineering; Basic Propulsion Equipment; Gas Turbine Mechanical; Electrical; SHIPBD GAGE CAL; SHIPBOARD FIREFIGHTING; Waste Heat Boilers; Class Facilitator Instructional; MACHINERY CONTROL SYSTEM; Marine Maintenance And Ship Repair,"['Company Name', 'Company Name', 'Company Name']",01/2019; 06/2014; 10/2007,12/2018; 11/2010,0.0,Engineering Assistant; Electrical Superintendent; Engineering Assistant,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.0,0.0,0.6225,0.2,0.0,0.0,0.0518,0.126
,application development; c++; data modelling; data processing; data structures; deep learning; django; flask; kubernetes; machine learning engineer; python,"['SHRI GURU GOBIND SINGHJI COLLEGE OF ENGINEERING AND TECHNOLOGY, NANED']",B.TECH,COMPUTERS,"['TATA CONSULTANCY SERVICES LTD.', 'NANYANG TECHNOLOGICAL UNIVERSITY']",SEP 2019; SEP 2018,TILL DATE,4.33,MACHINE LEARNING ENGINEER; RESEARCH ASSISTANT,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.1667,0.2,0.9921,1.0,0.0,0.0385,0.0776,0.3946
I am fresher data analyst starting out in ERP and MIS. As a fresher I am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,advanced excel; business intelligence; clustering; dashboards; data analysis; eda; linear regression; logistic regression; machine learning; mis reporting; mongodb; nosql; power bi; python; sql; statistical analysis,"['Shivaji College', 'Indira Gandhi National Open University']","B.A (Economics); M.A (Economics), Correspondence/Distance Learning",Economics; Economics,['Justdial'],Apr 2019,Dec 2020,1.67,MIS Analyst,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,2.0,having cacc from reputed ca firm; internal audit and compliance,,True,0.0,0.0,0.7631,1.0,0.0,0.08,0.0451,0.2707
,accountant; accounting; arabic; balance sheet; bank reconciliations; com; customer service; databases; delivery; email; english; expense reports; financial; financial and accounting; financial statements; forms; general ledger; lecturer; microsoft excel; microsoft word; office; page; phone; pricing; quickbooks; resolve customer complaints; telephone; workflow; written,['Alexandria University'],Trained as Accountant,Account solution,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",06/2014; 03/2013; 10/2011; 08/2010,10/2016; 05/2014; 02/2013; 09/2011,0.0,General Accountant; General Accountant,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.3696,0.3696,0.0293,0.2,0.0,0.0606,0.1478,0.2296
I would like to introduce myself as an applicant for the data scientist role. I have gathered an well informed amount of experience from my coursework and I feel that I can perform and produce results in an work environment if given the opportunity.,analysis; ann; bounding algorithms; data science; decision trees; heuristics; hypothesis analysis; machine learning; optimization; svm,"['St Josephs College of Arts and Science Bengaluru', 'St Josephs College of Arts and Science Bengaluru']",B.Sc (Computer Science Engineering); M.Sc (Data Science),Computer Science Engineering; Data Science,['Crison Global Service'],Jan 2021,Till Date,3.0,Intern,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,3.0,brand promotion; campaign management; field supervision; merchandising; promotional activities; trade marketing,,True,0.0,0.0,0.8176,1.0,0.0,0.1923,0.1861,0.2916
,account management; algebra; analysis; c; c++; classroom monitoring; college math; content management; customer care and satisfaction; data analysis; documentation; english; esl students; forecasting; geometry; google docs; grading and evaluation; inventory; leadership; mathematics; middle school high school math; ms office suite; operations management; optimization; presentation; problem solving; procurement; project management; quantitative analysis; sql; student assistance; teaching; technology integration; tutoring,"['San Francisco State University', 'Yildiz Technical University']",Master of Business Administration; Bachelor of Science,Decision Sciences; Mathematical Engineering,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",09/2015; 04/2015; 09/2005; 09/2005; 11/2004; 01/2013; 10/2011; 10/2010; 07/2007,Current; 05/2015; 05/2007; 09/2006; 04/2005; 02/2014; 01/2013; 10/2011; 10/2010,0.0,"Volunteer Math Tutor; Volunteer Math Tutor; Teaching Assistant; Mathematics and Statistics Tutor; Operational Excellence Lead, Google Express; Consultant; Operations Manager; Senior Analyst; Account Manager and Logistics Analyst","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,1.0,autocad; communication and negotiation skills; internet; ms office,Age 25 to 30 years,True,0.2857,0.25,0.6225,0.9,0.0,0.0213,0.0248,0.3664
,automation tools; business processes; c; chemistry; client; crm; developer; english; event management; functional; hp; hp alm quality center; hp qtp; image; machinery; mathematics; ms office; oil; physics; programming; progress; project management; python; quality; quality assurance; quick test professional; r; simulation; sql; streak crm; tableau; team lead; trello; vb script,"['Syracuse University', 'Thapar University', 'Delhi Public School']",B.E; Class XII,Chemical Engineering,"['N/A', 'N/A', 'N/A']",02/2017; 12/2016; 12/2015,07/2017; 02/2017; 11/2016,0.0,Software Engineering Analyst; Software Engineering Analyst; Associate Software Engineer,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",python; sql,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,5.0,hrm report; human resource management; ngo,Age 25 to 40 years,True,0.1667,0.3333,0.0293,1.0,0.0,0.0741,0.0529,0.2774
Seeking challenging opportunity in the field of data science and data analytics where I can utilize my skills and knowledge to contribute for the growth of the organization,deep learning; keras; machine learning; python; sql; tensorflow,"['CIT, Calicut']",B.Tech,Metallurgy,['JP Chand and Co'],May 2020,Oct 2020,0.42,Intern,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,Marketing Officer,Bachelor/Honors,At least 1 year,1.0,corporate marketing; facebook ads manager; facebook campaign; facebook marketing; google ads; google analytics; market researc; marketing; search engine optimization seo,,True,0.0,0.0,0.715,1.0,0.0,0.1724,0.1832,0.275
"Proficient Entry Level Electrical Engineer with excellent technical, analytical and communication skills. Willing to relocate anywhere in the US.",active noise cancelling anc; analog and digital filter design; autocad; c languages; c#; c++; circuit design and analysis; computer systems; digital logic; digital signal processing; electronics; embedded hardware software; engineering ethics; etap; failure analysis; hardware software design; helioscope; inventor; logic analyzer; logistics; low and high voltage devices; low voltage power consumption; mac os; mathcad; matlab; microprocessors; ms office; ms visual studio; multimeters; nationalelectric code nec; orcad; oscilloscope; power systems analysis; powerworld; project management; pspice; reading circuit schematics; research and development; simulink; solar pv systems design; soldering; solidworks; testing; troubleshooting; verilog,"['Oklahoma Christian University', 'Oklahoma Christian University']",Master of Science; Bachelor of Science,Engineering Electrical Engineering; Electrical Engineering,"['Company Name', 'Company Name', 'Company Name']",July 2015; October 2014; September 2014,August 2015,0.08,Engineering Intern,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0667,0.1429,0.1947,1.0,0.0,0.1282,0.1101,0.2397
,account reconciliation processes; administrative support; customer service; data entry; financial statements; general ledger proficiency; interpersonal activelistening and critical thinking skills; microsoft office; proficient in polish language; superior analytical skills,"['Oakland University', 'Macomb Community College']",Bachelor of Science; Associate,Accounting and Finance; Accounting,"['Company Name', 'Company Name', 'Company Name']",04/2020; 11/2017; 09/2012,Current; 04/2020; 06/2017,0.0,Accountant; Branch Service Specialist; Cashier,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.6225,1.0,0.0,0.0417,0.4087,0.2659
"Currently looking for an opportunity in Machine Learning and Deep Learning roles. I have a good depth of knowledge in ML Algorithms, various CNN architectures, and worked on Time series data, Image captioning, NLP tasks. Interested to work with an enthusiastic team on business problems.",deep learning; keras; machine learning; python; sql; tensorflow,['PPC University'],B.Tech,Chemical,['ASM Management'],Jan 2019,Oct 2019,0.75,Intern,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,5.0,hrm report; human resource management; ngo,Age 25 to 40 years,True,0.0,0.0,0.0601,1.0,0.0,0.087,0.0493,0.1658
Hard working recent graduate intending a part time or full time job to build experience in a Civil Engineering working environment. Bringing Civil Engineering office and field experience in roadway design and traffic engineering.,accounting software; autocad; balance; budget; capital expenditures; civil engineering; client; consulting; contracts; customer care; dc; design and construction; engineering design; expense reports; express; filing; handling cash; interpersonal communications; marketing research; materials; meetings; microsoft excel; microsoft word; microstation; ms powerpoint; office; peak; prepare contract; prime; project plans; recording; specification; transportation; utilities; written communication,['George Mason University'],Bachelor of Science,Civil Engineering,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",05/2013; 07/2014; 05/2011; 12/2015,05/2014; Current; 08/2012; Current,0.0,Engineering Assistant; Medical Receptionist; Teller; Engineer Technician IV,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,5.0,autocad; solidworks,Age at least 24 years,True,0.5,0.5,0.0293,1.0,0.0,0.0,0.0577,0.4073
